,index,Unnamed: 0,Close,High,Low,Open,Volume,date,weekday,month,c-o,candle,cashopen,cash,action,diff,quantity
137,137,137,5519.100098,5561.450195,5486.850098,5549.299805,245000,07-08-2013,2,8,-0.5442075227723214,1,60688.524370000065,60990.52144000006,short,301.9970699999976,-10.0
138,138,138,5565.649902,5577.600098,5510.049805,5510.049805,204900,08-08-2013,3,8,1.0090670496217133,5,60990.52144000006,61602.122507000066,long,611.6010670000051,11.0
139,139,139,5612.399902,5644.100098,5557.100098,5606.700195,195700,12-08-2013,0,8,0.10165885104901282,3,61602.122507000066,61545.12543700007,short,-56.99706999999762,-10.0
140,140,140,5699.299805,5704.75,5578.899902,5600.25,223000,13-08-2013,1,8,1.7686675594839454,5,61545.12543700007,60554.62738700007,short,-990.4980499999965,-10.0
141,141,141,5742.299805,5754.549805,5690.200195,5715.399902,223700,14-08-2013,2,8,0.4706565325479047,3,60554.62738700007,60285.62835700008,short,-268.9990299999954,-10.0
142,142,142,5507.850098,5716.600098,5496.049805,5705.450195,248100,16-08-2013,4,8,-3.4633567947568498,0,60285.62835700008,62261.62932700009,short,1976.0009700000046,-10.0
143,143,143,5414.75,5499.649902,5360.649902,5497.549805,219700,19-08-2013,0,8,-1.5061219622729667,0,62261.62932700009,63172.42718200009,short,910.7978549999962,-11.0
144,144,144,5401.450195,5417.799805,5306.350098,5353.450195,261100,20-08-2013,1,8,0.8966180360626294,4,63172.42718200009,62644.42718200009,short,-528.0,-11.0
145,145,145,5302.549805,5504.100098,5268.450195,5494.450195,255000,21-08-2013,2,8,-3.492622249531569,0,62644.42718200009,64755.33147200009,short,2110.9042900000077,-11.0
146,146,146,5408.450195,5418.950195,5254.049805,5282.799805,284500,22-08-2013,3,8,2.3784810070045936,5,64755.33147200009,63247.52679200009,short,-1507.8046800000084,-12.0
147,147,147,5471.75,5478.799805,5377.799805,5428.75,251500,23-08-2013,4,8,0.7920792079207921,4,63247.52679200009,62774.52679200009,short,-473.0,-11.0
148,148,148,5476.5,5528.700195,5454.450195,5499.399902,242000,26-08-2013,0,8,-0.4164072882147008,2,62774.52679200009,63026.42571400009,short,251.89892200000122,-11.0
149,149,149,5287.450195,5427.399902,5274.25,5426.5,306000,27-08-2013,1,8,-2.562421542430658,0,63026.42571400009,64555.97356900009,short,1529.5478549999962,-11.0
150,150,150,5285.0,5317.700195,5118.850098,5233.450195,336000,28-08-2013,2,8,0.9850061255813604,4,64555.97356900009,63937.37590900009,short,-618.5976599999958,-12.0
151,151,151,5409.049805,5428.899902,5303.0,5316.5,326500,29-08-2013,3,8,1.7408032540204958,5,63937.37590900009,62826.7782490001,short,-1110.5976599999958,-12.0
152,152,152,5471.799805,5493.299805,5360.200195,5407.450195,336400,30-08-2013,4,8,1.1900176179061286,5,62826.7782490001,62118.9325390001,short,-707.8457099999923,-11.0
153,153,153,5550.75,5564.899902,5478.850098,5480.25,214200,02-09-2013,0,9,1.2864376625153962,5,62118.9325390001,61343.4325390001,short,-775.5,-11.0
154,154,154,5341.450195,5580.950195,5323.75,5574.700195,250300,03-09-2013,1,9,-4.18408150826127,0,61343.4325390001,63909.1825390001,short,2565.75,-11.0
155,155,155,5448.100098,5460.25,5318.899902,5358.649902,237200,04-09-2013,2,9,1.6692674019740388,5,63909.1825390001,62925.230383000104,short,-983.9521559999976,-11.0
156,156,156,5592.950195,5625.75,5552.700195,5553.75,274900,05-09-2013,3,9,0.7058329056943569,4,62925.230383000104,62494.0282380001,short,-431.20214500000384,-11.0
157,157,157,5680.399902,5688.600098,5566.149902,5617.450195,253000,06-09-2013,4,9,1.1206099709798987,5,62494.0282380001,61801.5814610001,short,-692.4467769999974,-11.0
158,158,158,5896.75,5904.850098,5738.200195,5738.5,275200,10-09-2013,1,9,2.7576892916267317,5,61801.5814610001,60219.0814610001,short,-1582.5,-10.0
159,159,159,5913.149902,5924.350098,5832.700195,5887.25,265000,11-09-2013,2,9,0.4399320905346318,3,60219.0814610001,59960.0824410001,short,-258.9990200000011,-10.0
160,160,160,5850.700195,5932.0,5815.799805,5931.149902,273000,12-09-2013,3,9,-1.356393082779309,0,59960.0824410001,60764.5795110001,short,804.4970699999976,-10.0
161,161,161,5850.600098,5884.299805,5822.899902,5828.0,190800,13-09-2013,4,9,0.3877847975291676,3,60764.5795110001,60538.5785310001,short,-226.0009799999989,-10.0
162,162,162,5840.549805,5957.25,5798.149902,5930.299805,219500,16-09-2013,0,9,-1.513414210936339,0,60538.5785310001,61436.0785310001,short,897.5,-10.0
